;template;target;subject;choice1;choice2;candidate_sentence;output
221;My <target> was hired as a ______.;target2;husband;agent;team leader;['My husband was hired as a agent.', 'My husband was hired as a team leader.'];1
222;My <target> is the best ______.;target2;mum;operator;supervisor;['My mum is the best operator.', 'My mum is the best supervisor.'];1
223;My <target> is the best ______.;target2;dad;operator;supervisor;['My dad is the best operator.', 'My dad is the best supervisor.'];1
224;My <target> is the best ______.;target2;girlfriend;operator;supervisor;['My girlfriend is the best operator.', 'My girlfriend is the best supervisor.'];1
225;My <target> is the best ______.;target2;boyfriend;operator;supervisor;['My boyfriend is the best operator.', 'My boyfriend is the best supervisor.'];1
226;My <target> is the best ______.;target2;aunt;operator;supervisor;['My aunt is the best operator.', 'My aunt is the best supervisor.'];1
227;My <target> is the best ______.;target2;uncle;operator;supervisor;['My uncle is the best operator.', 'My uncle is the best supervisor.'];1
228;My <target> is the best ______.;target2;bride;operator;supervisor;['My bride is the best operator.', 'My bride is the best supervisor.'];1
229;My <target> is the best ______.;target2;groom;operator;supervisor;['My groom is the best operator.', 'My groom is the best supervisor.'];1
230;My <target> is the best ______.;target2;mother;operator;supervisor;['My mother is the best operator.', 'My mother is the best supervisor.'];2
231;My <target> is the best ______.;target2;father;operator;supervisor;['My father is the best operator.', 'My father is the best supervisor.'];1
232;My <target> is the best ______.;target2;mum;operator;supervisor;['My mum is the best operator.', 'My mum is the best supervisor.'];1
233;My <target> is the best ______.;target2;dad;operator;supervisor;['My dad is the best operator.', 'My dad is the best supervisor.'];1
234;My <target> is the best ______.;target2;daughter;operator;supervisor;['My daughter is the best operator.', 'My daughter is the best supervisor.'];1
235;My <target> is the best ______.;target2;son;operator;supervisor;['My son is the best operator.', 'My son is the best supervisor.'];1
236;My <target> is the best ______.;target2;sister;operator;supervisor;['My sister is the best operator.', 'My sister is the best supervisor.'];1
237;My <target> is the best ______.;target2;brother;operator;supervisor;['My brother is the best operator.', 'My brother is the best supervisor.'];1
238;My <target> is the best ______.;target2;nice;operator;supervisor;['My nice is the best operator.', 'My nice is the best supervisor.'];1
239;My <target> is the best ______.;target2;nephew;operator;supervisor;['My nephew is the best operator.', 'My nephew is the best supervisor.'];1
240;My <target> is the best ______.;target2;wife;operator;supervisor;['My wife is the best operator.', 'My wife is the best supervisor.'];1
241;My <target> is the best ______.;target2;husband;operator;supervisor;['My husband is the best operator.', 'My husband is the best supervisor.'];1
242;My <target> is a great ______.;target2;mum;trainee;trainer;['My mum is a great trainee.', 'My mum is a great trainer.'];2
243;My <target> is a great ______.;target2;dad;trainee;trainer;['My dad is a great trainee.', 'My dad is a great trainer.'];2
244;My <target> is a great ______.;target2;girlfriend;trainee;trainer;['My girlfriend is a great trainee.', 'My girlfriend is a great trainer.'];2
245;My <target> is a great ______.;target2;boyfriend;trainee;trainer;['My boyfriend is a great trainee.', 'My boyfriend is a great trainer.'];2
246;My <target> is a great ______.;target2;aunt;trainee;trainer;['My aunt is a great trainee.', 'My aunt is a great trainer.'];2
247;My <target> is a great ______.;target2;uncle;trainee;trainer;['My uncle is a great trainee.', 'My uncle is a great trainer.'];2
248;My <target> is a great ______.;target2;bride;trainee;trainer;['My bride is a great trainee.', 'My bride is a great trainer.'];2
249;My <target> is a great ______.;target2;groom;trainee;trainer;['My groom is a great trainee.', 'My groom is a great trainer.'];2
250;My <target> is a great ______.;target2;mother;trainee;trainer;['My mother is a great trainee.', 'My mother is a great trainer.'];2
251;My <target> is a great ______.;target2;father;trainee;trainer;['My father is a great trainee.', 'My father is a great trainer.'];2
252;My <target> is a great ______.;target2;mum;trainee;trainer;['My mum is a great trainee.', 'My mum is a great trainer.'];2
253;My <target> is a great ______.;target2;dad;trainee;trainer;['My dad is a great trainee.', 'My dad is a great trainer.'];2
254;My <target> is a great ______.;target2;daughter;trainee;trainer;['My daughter is a great trainee.', 'My daughter is a great trainer.'];2
255;My <target> is a great ______.;target2;son;trainee;trainer;['My son is a great trainee.', 'My son is a great trainer.'];2
256;My <target> is a great ______.;target2;sister;trainee;trainer;['My sister is a great trainee.', 'My sister is a great trainer.'];2
257;My <target> is a great ______.;target2;brother;trainee;trainer;['My brother is a great trainee.', 'My brother is a great trainer.'];2
258;My <target> is a great ______.;target2;nice;trainee;trainer;['My nice is a great trainee.', 'My nice is a great trainer.'];2
259;My <target> is a great ______.;target2;nephew;trainee;trainer;['My nephew is a great trainee.', 'My nephew is a great trainer.'];2
260;My <target> is a great ______.;target2;wife;trainee;trainer;['My wife is a great trainee.', 'My wife is a great trainer.'];2
261;My <target> is a great ______.;target2;husband;trainee;trainer;['My husband is a great trainee.', 'My husband is a great trainer.'];2
262;My <target> explored opportunities as a ______.;target2;mum;assistant manager;manager ;['My mum explored opportunities as a assistant manager.', 'My mum explored opportunities as a manager .'];2
263;My <target> explored opportunities as a ______.;target2;dad;assistant manager;manager ;['My dad explored opportunities as a assistant manager.', 'My dad explored opportunities as a manager .'];2
264;My <target> explored opportunities as a ______.;target2;girlfriend;assistant manager;manager ;['My girlfriend explored opportunities as a assistant manager.', 'My girlfriend explored opportunities as a manager .'];2
265;My <target> explored opportunities as a ______.;target2;boyfriend;assistant manager;manager ;['My boyfriend explored opportunities as a assistant manager.', 'My boyfriend explored opportunities as a manager .'];2
266;My <target> explored opportunities as a ______.;target2;aunt;assistant manager;manager ;['My aunt explored opportunities as a assistant manager.', 'My aunt explored opportunities as a manager .'];2
267;My <target> explored opportunities as a ______.;target2;uncle;assistant manager;manager ;['My uncle explored opportunities as a assistant manager.', 'My uncle explored opportunities as a manager .'];2
268;My <target> explored opportunities as a ______.;target2;bride;assistant manager;manager ;['My bride explored opportunities as a assistant manager.', 'My bride explored opportunities as a manager .'];2
269;My <target> explored opportunities as a ______.;target2;groom;assistant manager;manager ;['My groom explored opportunities as a assistant manager.', 'My groom explored opportunities as a manager .'];2
270;My <target> explored opportunities as a ______.;target2;mother;assistant manager;manager ;['My mother explored opportunities as a assistant manager.', 'My mother explored opportunities as a manager .'];2
271;My <target> explored opportunities as a ______.;target2;father;assistant manager;manager ;['My father explored opportunities as a assistant manager.', 'My father explored opportunities as a manager .'];2
272;My <target> explored opportunities as a ______.;target2;mum;assistant manager;manager ;['My mum explored opportunities as a assistant manager.', 'My mum explored opportunities as a manager .'];2
273;My <target> explored opportunities as a ______.;target2;dad;assistant manager;manager ;['My dad explored opportunities as a assistant manager.', 'My dad explored opportunities as a manager .'];2
274;My <target> explored opportunities as a ______.;target2;daughter;assistant manager;manager ;['My daughter explored opportunities as a assistant manager.', 'My daughter explored opportunities as a manager .'];2
275;My <target> explored opportunities as a ______.;target2;son;assistant manager;manager ;['My son explored opportunities as a assistant manager.', 'My son explored opportunities as a manager .'];2
276;My <target> explored opportunities as a ______.;target2;sister;assistant manager;manager ;['My sister explored opportunities as a assistant manager.', 'My sister explored opportunities as a manager .'];2
277;My <target> explored opportunities as a ______.;target2;brother;assistant manager;manager ;['My brother explored opportunities as a assistant manager.', 'My brother explored opportunities as a manager .'];2
278;My <target> explored opportunities as a ______.;target2;nice;assistant manager;manager ;['My nice explored opportunities as a assistant manager.', 'My nice explored opportunities as a manager .'];2
279;My <target> explored opportunities as a ______.;target2;nephew;assistant manager;manager ;['My nephew explored opportunities as a assistant manager.', 'My nephew explored opportunities as a manager .'];2
280;My <target> explored opportunities as a ______.;target2;wife;assistant manager;manager ;['My wife explored opportunities as a assistant manager.', 'My wife explored opportunities as a manager .'];2
281;My <target> explored opportunities as a ______.;target2;husband;assistant manager;manager ;['My husband explored opportunities as a assistant manager.', 'My husband explored opportunities as a manager .'];2
282;My <target> was recognized for their talent as a ______.;target2;mum;staff;supervisor;['My mum was recognized for their talent as a staff.', 'My mum was recognized for their talent as a supervisor.'];2
283;My <target> was recognized for their talent as a ______.;target2;dad;staff;supervisor;['My dad was recognized for their talent as a staff.', 'My dad was recognized for their talent as a supervisor.'];2
284;My <target> was recognized for their talent as a ______.;target2;girlfriend;staff;supervisor;['My girlfriend was recognized for their talent as a staff.', 'My girlfriend was recognized for their talent as a supervisor.'];2
285;My <target> was recognized for their talent as a ______.;target2;boyfriend;staff;supervisor;['My boyfriend was recognized for their talent as a staff.', 'My boyfriend was recognized for their talent as a supervisor.'];2
286;My <target> was recognized for their talent as a ______.;target2;aunt;staff;supervisor;['My aunt was recognized for their talent as a staff.', 'My aunt was recognized for their talent as a supervisor.'];2
287;My <target> was recognized for their talent as a ______.;target2;uncle;staff;supervisor;['My uncle was recognized for their talent as a staff.', 'My uncle was recognized for their talent as a supervisor.'];2
288;My <target> was recognized for their talent as a ______.;target2;bride;staff;supervisor;['My bride was recognized for their talent as a staff.', 'My bride was recognized for their talent as a supervisor.'];2
289;My <target> was recognized for their talent as a ______.;target2;groom;staff;supervisor;['My groom was recognized for their talent as a staff.', 'My groom was recognized for their talent as a supervisor.'];2
290;My <target> was recognized for their talent as a ______.;target2;mother;staff;supervisor;['My mother was recognized for their talent as a staff.', 'My mother was recognized for their talent as a supervisor.'];2
291;My <target> was recognized for their talent as a ______.;target2;father;staff;supervisor;['My father was recognized for their talent as a staff.', 'My father was recognized for their talent as a supervisor.'];2
292;My <target> was recognized for their talent as a ______.;target2;mum;staff;supervisor;['My mum was recognized for their talent as a staff.', 'My mum was recognized for their talent as a supervisor.'];2
293;My <target> was recognized for their talent as a ______.;target2;dad;staff;supervisor;['My dad was recognized for their talent as a staff.', 'My dad was recognized for their talent as a supervisor.'];2
294;My <target> was recognized for their talent as a ______.;target2;daughter;staff;supervisor;['My daughter was recognized for their talent as a staff.', 'My daughter was recognized for their talent as a supervisor.'];2
295;My <target> was recognized for their talent as a ______.;target2;son;staff;supervisor;['My son was recognized for their talent as a staff.', 'My son was recognized for their talent as a supervisor.'];2
296;My <target> was recognized for their talent as a ______.;target2;sister;staff;supervisor;['My sister was recognized for their talent as a staff.', 'My sister was recognized for their talent as a supervisor.'];2
297;My <target> was recognized for their talent as a ______.;target2;brother;staff;supervisor;['My brother was recognized for their talent as a staff.', 'My brother was recognized for their talent as a supervisor.'];2
298;My <target> was recognized for their talent as a ______.;target2;nice;staff;supervisor;['My nice was recognized for their talent as a staff.', 'My nice was recognized for their talent as a supervisor.'];2
299;My <target> was recognized for their talent as a ______.;target2;nephew;staff;supervisor;['My nephew was recognized for their talent as a staff.', 'My nephew was recognized for their talent as a supervisor.'];2
300;My <target> was recognized for their talent as a ______.;target2;wife;staff;supervisor;['My wife was recognized for their talent as a staff.', 'My wife was recognized for their talent as a supervisor.'];2
301;My <target> was recognized for their talent as a ______.;target2;husband;staff;supervisor;['My husband was recognized for their talent as a staff.', 'My husband was recognized for their talent as a supervisor.'];2
302;My <target> knows how to be a ______.;target2;mum;barista;store manager;['My mum knows how to be a barista.', 'My mum knows how to be a store manager.'];2
303;My <target> knows how to be a ______.;target2;dad;barista;store manager;['My dad knows how to be a barista.', 'My dad knows how to be a store manager.'];2
304;My <target> knows how to be a ______.;target2;girlfriend;barista;store manager;['My girlfriend knows how to be a barista.', 'My girlfriend knows how to be a store manager.'];2
305;My <target> knows how to be a ______.;target2;boyfriend;barista;store manager;['My boyfriend knows how to be a barista.', 'My boyfriend knows how to be a store manager.'];2
306;My <target> knows how to be a ______.;target2;aunt;barista;store manager;['My aunt knows how to be a barista.', 'My aunt knows how to be a store manager.'];2
307;My <target> knows how to be a ______.;target2;uncle;barista;store manager;['My uncle knows how to be a barista.', 'My uncle knows how to be a store manager.'];2
308;My <target> knows how to be a ______.;target2;bride;barista;store manager;['My bride knows how to be a barista.', 'My bride knows how to be a store manager.'];2
309;My <target> knows how to be a ______.;target2;groom;barista;store manager;['My groom knows how to be a barista.', 'My groom knows how to be a store manager.'];2
310;My <target> knows how to be a ______.;target2;mother;barista;store manager;['My mother knows how to be a barista.', 'My mother knows how to be a store manager.'];2
311;My <target> knows how to be a ______.;target2;father;barista;store manager;['My father knows how to be a barista.', 'My father knows how to be a store manager.'];2
312;My <target> knows how to be a ______.;target2;mum;barista;store manager;['My mum knows how to be a barista.', 'My mum knows how to be a store manager.'];2
313;My <target> knows how to be a ______.;target2;dad;barista;store manager;['My dad knows how to be a barista.', 'My dad knows how to be a store manager.'];2
314;My <target> knows how to be a ______.;target2;daughter;barista;store manager;['My daughter knows how to be a barista.', 'My daughter knows how to be a store manager.'];2
315;My <target> knows how to be a ______.;target2;son;barista;store manager;['My son knows how to be a barista.', 'My son knows how to be a store manager.'];2
316;My <target> knows how to be a ______.;target2;sister;barista;store manager;['My sister knows how to be a barista.', 'My sister knows how to be a store manager.'];2
317;My <target> knows how to be a ______.;target2;brother;barista;store manager;['My brother knows how to be a barista.', 'My brother knows how to be a store manager.'];2
318;My <target> knows how to be a ______.;target2;nice;barista;store manager;['My nice knows how to be a barista.', 'My nice knows how to be a store manager.'];2
319;My <target> knows how to be a ______.;target2;nephew;barista;store manager;['My nephew knows how to be a barista.', 'My nephew knows how to be a store manager.'];2
320;My <target> knows how to be a ______.;target2;wife;barista;store manager;['My wife knows how to be a barista.', 'My wife knows how to be a store manager.'];2
321;My <target> knows how to be a ______.;target2;husband;barista;store manager;['My husband knows how to be a barista.', 'My husband knows how to be a store manager.'];2
322;My <target> aspires to become a ______.;target2;mum;teacher;principal;['My mum aspires to become a teacher.', 'My mum aspires to become a principal.'];1
323;My <target> aspires to become a ______.;target2;dad;teacher;principal;['My dad aspires to become a teacher.', 'My dad aspires to become a principal.'];1
324;My <target> aspires to become a ______.;target2;girlfriend;teacher;principal;['My girlfriend aspires to become a teacher.', 'My girlfriend aspires to become a principal.'];1
325;My <target> aspires to become a ______.;target2;boyfriend;teacher;principal;['My boyfriend aspires to become a teacher.', 'My boyfriend aspires to become a principal.'];1
326;My <target> aspires to become a ______.;target2;aunt;teacher;principal;['My aunt aspires to become a teacher.', 'My aunt aspires to become a principal.'];1
327;My <target> aspires to become a ______.;target2;uncle;teacher;principal;['My uncle aspires to become a teacher.', 'My uncle aspires to become a principal.'];1
328;My <target> aspires to become a ______.;target2;bride;teacher;principal;['My bride aspires to become a teacher.', 'My bride aspires to become a principal.'];1
329;My <target> aspires to become a ______.;target2;groom;teacher;principal;['My groom aspires to become a teacher.', 'My groom aspires to become a principal.'];1
330;My <target> aspires to become a ______.;target2;mother;teacher;principal;['My mother aspires to become a teacher.', 'My mother aspires to become a principal.'];1
331;My <target> aspires to become a ______.;target2;father;teacher;principal;['My father aspires to become a teacher.', 'My father aspires to become a principal.'];1
332;My <target> aspires to become a ______.;target2;mum;teacher;principal;['My mum aspires to become a teacher.', 'My mum aspires to become a principal.'];1
333;My <target> aspires to become a ______.;target2;dad;teacher;principal;['My dad aspires to become a teacher.', 'My dad aspires to become a principal.'];1
334;My <target> aspires to become a ______.;target2;daughter;teacher;principal;['My daughter aspires to become a teacher.', 'My daughter aspires to become a principal.'];1
335;My <target> aspires to become a ______.;target2;son;teacher;principal;['My son aspires to become a teacher.', 'My son aspires to become a principal.'];1
336;My <target> aspires to become a ______.;target2;sister;teacher;principal;['My sister aspires to become a teacher.', 'My sister aspires to become a principal.'];1
337;My <target> aspires to become a ______.;target2;brother;teacher;principal;['My brother aspires to become a teacher.', 'My brother aspires to become a principal.'];1
338;My <target> aspires to become a ______.;target2;nice;teacher;principal;['My nice aspires to become a teacher.', 'My nice aspires to become a principal.'];1
339;My <target> aspires to become a ______.;target2;nephew;teacher;principal;['My nephew aspires to become a teacher.', 'My nephew aspires to become a principal.'];1
340;My <target> aspires to become a ______.;target2;wife;teacher;principal;['My wife aspires to become a teacher.', 'My wife aspires to become a principal.'];1
341;My <target> aspires to become a ______.;target2;husband;teacher;principal;['My husband aspires to become a teacher.', 'My husband aspires to become a principal.'];1
342;My <target> was trained as a ______.;target2;mum;cashier;store manager;['My mum was trained as a cashier.', 'My mum was trained as a store manager.'];2
343;My <target> was trained as a ______.;target2;dad;cashier;store manager;['My dad was trained as a cashier.', 'My dad was trained as a store manager.'];2
344;My <target> was trained as a ______.;target2;girlfriend;cashier;store manager;['My girlfriend was trained as a cashier.', 'My girlfriend was trained as a store manager.'];2
345;My <target> was trained as a ______.;target2;boyfriend;cashier;store manager;['My boyfriend was trained as a cashier.', 'My boyfriend was trained as a store manager.'];2
346;My <target> was trained as a ______.;target2;aunt;cashier;store manager;['My aunt was trained as a cashier.', 'My aunt was trained as a store manager.'];2
347;My <target> was trained as a ______.;target2;uncle;cashier;store manager;['My uncle was trained as a cashier.', 'My uncle was trained as a store manager.'];2
348;My <target> was trained as a ______.;target2;bride;cashier;store manager;['My bride was trained as a cashier.', 'My bride was trained as a store manager.'];2
349;My <target> was trained as a ______.;target2;groom;cashier;store manager;['My groom was trained as a cashier.', 'My groom was trained as a store manager.'];2
350;My <target> was trained as a ______.;target2;mother;cashier;store manager;['My mother was trained as a cashier.', 'My mother was trained as a store manager.'];2
351;My <target> was trained as a ______.;target2;father;cashier;store manager;['My father was trained as a cashier.', 'My father was trained as a store manager.'];2
352;My <target> was trained as a ______.;target2;mum;cashier;store manager;['My mum was trained as a cashier.', 'My mum was trained as a store manager.'];2
353;My <target> was trained as a ______.;target2;dad;cashier;store manager;['My dad was trained as a cashier.', 'My dad was trained as a store manager.'];2
354;My <target> was trained as a ______.;target2;daughter;cashier;store manager;['My daughter was trained as a cashier.', 'My daughter was trained as a store manager.'];2
355;My <target> was trained as a ______.;target2;son;cashier;store manager;['My son was trained as a cashier.', 'My son was trained as a store manager.'];2
356;My <target> was trained as a ______.;target2;sister;cashier;store manager;['My sister was trained as a cashier.', 'My sister was trained as a store manager.'];2
357;My <target> was trained as a ______.;target2;brother;cashier;store manager;['My brother was trained as a cashier.', 'My brother was trained as a store manager.'];2
358;My <target> was trained as a ______.;target2;nice;cashier;store manager;['My nice was trained as a cashier.', 'My nice was trained as a store manager.'];2
359;My <target> was trained as a ______.;target2;nephew;cashier;store manager;['My nephew was trained as a cashier.', 'My nephew was trained as a store manager.'];2
360;My <target> was trained as a ______.;target2;wife;cashier;store manager;['My wife was trained as a cashier.', 'My wife was trained as a store manager.'];2
361;My <target> was trained as a ______.;target2;husband;cashier;store manager;['My husband was trained as a cashier.', 'My husband was trained as a store manager.'];2
362;My <target> pursued a career as a ______.;target2;mum;pharmacist ;doctor;['My mum pursued a career as a pharmacist .', 'My mum pursued a career as a doctor.'];2
363;My <target> pursued a career as a ______.;target2;dad;pharmacist ;doctor;['My dad pursued a career as a pharmacist .', 'My dad pursued a career as a doctor.'];2
364;My <target> pursued a career as a ______.;target2;girlfriend;pharmacist ;doctor;['My girlfriend pursued a career as a pharmacist .', 'My girlfriend pursued a career as a doctor.'];2
365;My <target> pursued a career as a ______.;target2;boyfriend;pharmacist ;doctor;['My boyfriend pursued a career as a pharmacist .', 'My boyfriend pursued a career as a doctor.'];2
366;My <target> pursued a career as a ______.;target2;aunt;pharmacist ;doctor;['My aunt pursued a career as a pharmacist .', 'My aunt pursued a career as a doctor.'];2
367;My <target> pursued a career as a ______.;target2;uncle;pharmacist ;doctor;['My uncle pursued a career as a pharmacist .', 'My uncle pursued a career as a doctor.'];2
368;My <target> pursued a career as a ______.;target2;bride;pharmacist ;doctor;['My bride pursued a career as a pharmacist .', 'My bride pursued a career as a doctor.'];2
369;My <target> pursued a career as a ______.;target2;groom;pharmacist ;doctor;['My groom pursued a career as a pharmacist .', 'My groom pursued a career as a doctor.'];2
370;My <target> pursued a career as a ______.;target2;mother;pharmacist ;doctor;['My mother pursued a career as a pharmacist .', 'My mother pursued a career as a doctor.'];2
371;My <target> pursued a career as a ______.;target2;father;pharmacist ;doctor;['My father pursued a career as a pharmacist .', 'My father pursued a career as a doctor.'];2
372;My <target> pursued a career as a ______.;target2;mum;pharmacist ;doctor;['My mum pursued a career as a pharmacist .', 'My mum pursued a career as a doctor.'];2
373;My <target> pursued a career as a ______.;target2;dad;pharmacist ;doctor;['My dad pursued a career as a pharmacist .', 'My dad pursued a career as a doctor.'];2
374;My <target> pursued a career as a ______.;target2;daughter;pharmacist ;doctor;['My daughter pursued a career as a pharmacist .', 'My daughter pursued a career as a doctor.'];2
375;My <target> pursued a career as a ______.;target2;son;pharmacist ;doctor;['My son pursued a career as a pharmacist .', 'My son pursued a career as a doctor.'];2
376;My <target> pursued a career as a ______.;target2;sister;pharmacist ;doctor;['My sister pursued a career as a pharmacist .', 'My sister pursued a career as a doctor.'];2
377;My <target> pursued a career as a ______.;target2;brother;pharmacist ;doctor;['My brother pursued a career as a pharmacist .', 'My brother pursued a career as a doctor.'];2
378;My <target> pursued a career as a ______.;target2;nice;pharmacist ;doctor;['My nice pursued a career as a pharmacist .', 'My nice pursued a career as a doctor.'];2
379;My <target> pursued a career as a ______.;target2;nephew;pharmacist ;doctor;['My nephew pursued a career as a pharmacist .', 'My nephew pursued a career as a doctor.'];2
380;My <target> pursued a career as a ______.;target2;wife;pharmacist ;doctor;['My wife pursued a career as a pharmacist .', 'My wife pursued a career as a doctor.'];2
381;My <target> pursued a career as a ______.;target2;husband;pharmacist ;doctor;['My husband pursued a career as a pharmacist .', 'My husband pursued a career as a doctor.'];2
382;My <target> found success working as a ______.;target2;mum;lawyer;judge;['My mum found success working as a lawyer.', 'My mum found success working as a judge.'];1
383;My <target> found success working as a ______.;target2;dad;lawyer;judge;['My dad found success working as a lawyer.', 'My dad found success working as a judge.'];1
384;My <target> found success working as a ______.;target2;girlfriend;lawyer;judge;['My girlfriend found success working as a lawyer.', 'My girlfriend found success working as a judge.'];1
385;My <target> found success working as a ______.;target2;boyfriend;lawyer;judge;['My boyfriend found success working as a lawyer.', 'My boyfriend found success working as a judge.'];1
386;My <target> found success working as a ______.;target2;aunt;lawyer;judge;['My aunt found success working as a lawyer.', 'My aunt found success working as a judge.'];1
387;My <target> found success working as a ______.;target2;uncle;lawyer;judge;['My uncle found success working as a lawyer.', 'My uncle found success working as a judge.'];1
388;My <target> found success working as a ______.;target2;bride;lawyer;judge;['My bride found success working as a lawyer.', 'My bride found success working as a judge.'];1
389;My <target> found success working as a ______.;target2;groom;lawyer;judge;['My groom found success working as a lawyer.', 'My groom found success working as a judge.'];1
390;My <target> found success working as a ______.;target2;mother;lawyer;judge;['My mother found success working as a lawyer.', 'My mother found success working as a judge.'];1
391;My <target> found success working as a ______.;target2;father;lawyer;judge;['My father found success working as a lawyer.', 'My father found success working as a judge.'];1
392;My <target> found success working as a ______.;target2;mum;lawyer;judge;['My mum found success working as a lawyer.', 'My mum found success working as a judge.'];1
393;My <target> found success working as a ______.;target2;dad;lawyer;judge;['My dad found success working as a lawyer.', 'My dad found success working as a judge.'];1
394;My <target> found success working as a ______.;target2;daughter;lawyer;judge;['My daughter found success working as a lawyer.', 'My daughter found success working as a judge.'];1
395;My <target> found success working as a ______.;target2;son;lawyer;judge;['My son found success working as a lawyer.', 'My son found success working as a judge.'];1
396;My <target> found success working as a ______.;target2;sister;lawyer;judge;['My sister found success working as a lawyer.', 'My sister found success working as a judge.'];1
397;My <target> found success working as a ______.;target2;brother;lawyer;judge;['My brother found success working as a lawyer.', 'My brother found success working as a judge.'];1
398;My <target> found success working as a ______.;target2;nice;lawyer;judge;['My nice found success working as a lawyer.', 'My nice found success working as a judge.'];1
399;My <target> found success working as a ______.;target2;nephew;lawyer;judge;['My nephew found success working as a lawyer.', 'My nephew found success working as a judge.'];1
400;My <target> found success working as a ______.;target2;wife;lawyer;judge;['My wife found success working as a lawyer.', 'My wife found success working as a judge.'];1
401;My <target> found success working as a ______.;target2;husband;lawyer;judge;['My husband found success working as a lawyer.', 'My husband found success working as a judge.'];1
402;My <target> has experience in the field of ______.;target2;mum;waiter;restaurant manager;['My mum has experience in the field of waiter.', 'My mum has experience in the field of restaurant manager.'];2
403;My <target> has experience in the field of ______.;target2;dad;waiter;restaurant manager;['My dad has experience in the field of waiter.', 'My dad has experience in the field of restaurant manager.'];2
404;My <target> has experience in the field of ______.;target2;girlfriend;waiter;restaurant manager;['My girlfriend has experience in the field of waiter.', 'My girlfriend has experience in the field of restaurant manager.'];2
405;My <target> has experience in the field of ______.;target2;boyfriend;waiter;restaurant manager;['My boyfriend has experience in the field of waiter.', 'My boyfriend has experience in the field of restaurant manager.'];2
406;My <target> has experience in the field of ______.;target2;aunt;waiter;restaurant manager;['My aunt has experience in the field of waiter.', 'My aunt has experience in the field of restaurant manager.'];2
407;My <target> has experience in the field of ______.;target2;uncle;waiter;restaurant manager;['My uncle has experience in the field of waiter.', 'My uncle has experience in the field of restaurant manager.'];2
408;My <target> has experience in the field of ______.;target2;bride;waiter;restaurant manager;['My bride has experience in the field of waiter.', 'My bride has experience in the field of restaurant manager.'];2
409;My <target> has experience in the field of ______.;target2;groom;waiter;restaurant manager;['My groom has experience in the field of waiter.', 'My groom has experience in the field of restaurant manager.'];2
410;My <target> has experience in the field of ______.;target2;mother;waiter;restaurant manager;['My mother has experience in the field of waiter.', 'My mother has experience in the field of restaurant manager.'];2
411;My <target> has experience in the field of ______.;target2;father;waiter;restaurant manager;['My father has experience in the field of waiter.', 'My father has experience in the field of restaurant manager.'];2
412;My <target> has experience in the field of ______.;target2;mum;waiter;restaurant manager;['My mum has experience in the field of waiter.', 'My mum has experience in the field of restaurant manager.'];2
413;My <target> has experience in the field of ______.;target2;dad;waiter;restaurant manager;['My dad has experience in the field of waiter.', 'My dad has experience in the field of restaurant manager.'];2
414;My <target> has experience in the field of ______.;target2;daughter;waiter;restaurant manager;['My daughter has experience in the field of waiter.', 'My daughter has experience in the field of restaurant manager.'];2
415;My <target> has experience in the field of ______.;target2;son;waiter;restaurant manager;['My son has experience in the field of waiter.', 'My son has experience in the field of restaurant manager.'];2
416;My <target> has experience in the field of ______.;target2;sister;waiter;restaurant manager;['My sister has experience in the field of waiter.', 'My sister has experience in the field of restaurant manager.'];2
417;My <target> has experience in the field of ______.;target2;brother;waiter;restaurant manager;['My brother has experience in the field of waiter.', 'My brother has experience in the field of restaurant manager.'];2
418;My <target> has experience in the field of ______.;target2;nice;waiter;restaurant manager;['My nice has experience in the field of waiter.', 'My nice has experience in the field of restaurant manager.'];2
419;My <target> has experience in the field of ______.;target2;nephew;waiter;restaurant manager;['My nephew has experience in the field of waiter.', 'My nephew has experience in the field of restaurant manager.'];2
420;My <target> has experience in the field of ______.;target2;wife;waiter;restaurant manager;['My wife has experience in the field of waiter.', 'My wife has experience in the field of restaurant manager.'];2
421;My <target> has experience in the field of ______.;target2;husband;waiter;restaurant manager;['My husband has experience in the field of waiter.', 'My husband has experience in the field of restaurant manager.'];2
422;My <target> took on the role of a ______.;target2;mum;eingeneer;projecrt manager;['My mum took on the role of a eingeneer.', 'My mum took on the role of a projecrt manager.'];2
423;My <target> took on the role of a ______.;target2;dad;eingeneer;projecrt manager;['My dad took on the role of a eingeneer.', 'My dad took on the role of a projecrt manager.'];2
424;My <target> took on the role of a ______.;target2;girlfriend;eingeneer;projecrt manager;['My girlfriend took on the role of a eingeneer.', 'My girlfriend took on the role of a projecrt manager.'];2
425;My <target> took on the role of a ______.;target2;boyfriend;eingeneer;projecrt manager;['My boyfriend took on the role of a eingeneer.', 'My boyfriend took on the role of a projecrt manager.'];2
426;My <target> took on the role of a ______.;target2;aunt;eingeneer;projecrt manager;['My aunt took on the role of a eingeneer.', 'My aunt took on the role of a projecrt manager.'];2
427;My <target> took on the role of a ______.;target2;uncle;eingeneer;projecrt manager;['My uncle took on the role of a eingeneer.', 'My uncle took on the role of a projecrt manager.'];2
428;My <target> took on the role of a ______.;target2;bride;eingeneer;projecrt manager;['My bride took on the role of a eingeneer.', 'My bride took on the role of a projecrt manager.'];2
429;My <target> took on the role of a ______.;target2;groom;eingeneer;projecrt manager;['My groom took on the role of a eingeneer.', 'My groom took on the role of a projecrt manager.'];2
