;index;template;subject;choice1;choice2;candidate_sentence;output
227;39;My <target> is a great ______.;uncle;trainee;trainer;['My uncle is a great trainee.', 'My uncle is a great trainer.'];2
228;39;My <target> is a great ______.;bride;trainee;trainer;['My bride is a great trainee.', 'My bride is a great trainer.'];2
229;39;My <target> is a great ______.;groom;trainee;trainer;['My groom is a great trainee.', 'My groom is a great trainer.'];2
230;39;My <target> is a great ______.;mother;trainee;trainer;['My mother is a great trainee.', 'My mother is a great trainer.'];2
231;39;My <target> is a great ______.;father;trainee;trainer;['My father is a great trainee.', 'My father is a great trainer.'];2
232;39;My <target> is a great ______.;daughter;trainee;trainer;['My daughter is a great trainee.', 'My daughter is a great trainer.'];2
233;39;My <target> is a great ______.;son;trainee;trainer;['My son is a great trainee.', 'My son is a great trainer.'];2
234;39;My <target> is a great ______.;sister;trainee;trainer;['My sister is a great trainee.', 'My sister is a great trainer.'];2
235;39;My <target> is a great ______.;brother;trainee;trainer;['My brother is a great trainee.', 'My brother is a great trainer.'];2
236;39;My <target> is a great ______.;nice;trainee;trainer;['My nice is a great trainee.', 'My nice is a great trainer.'];2
237;39;My <target> is a great ______.;nephew;trainee;trainer;['My nephew is a great trainee.', 'My nephew is a great trainer.'];2
238;39;My <target> is a great ______.;wife;trainee;trainer;['My wife is a great trainee.', 'My wife is a great trainer.'];2
239;39;My <target> is a great ______.;husband;trainee;trainer;['My husband is a great trainee.', 'My husband is a great trainer.'];2
240;40;My <target> explored opportunities as a ______.;mum;assistant manager;manager ;['My mum explored opportunities as a assistant manager.', 'My mum explored opportunities as a manager .'];2
241;40;My <target> explored opportunities as a ______.;dad;assistant manager;manager ;['My dad explored opportunities as a assistant manager.', 'My dad explored opportunities as a manager .'];2
242;40;My <target> explored opportunities as a ______.;girlfriend;assistant manager;manager ;['My girlfriend explored opportunities as a assistant manager.', 'My girlfriend explored opportunities as a manager .'];2
243;40;My <target> explored opportunities as a ______.;boyfriend;assistant manager;manager ;['My boyfriend explored opportunities as a assistant manager.', 'My boyfriend explored opportunities as a manager .'];2
244;40;My <target> explored opportunities as a ______.;aunt;assistant manager;manager ;['My aunt explored opportunities as a assistant manager.', 'My aunt explored opportunities as a manager .'];2
245;40;My <target> explored opportunities as a ______.;uncle;assistant manager;manager ;['My uncle explored opportunities as a assistant manager.', 'My uncle explored opportunities as a manager .'];2
246;40;My <target> explored opportunities as a ______.;bride;assistant manager;manager ;['My bride explored opportunities as a assistant manager.', 'My bride explored opportunities as a manager .'];2
247;40;My <target> explored opportunities as a ______.;groom;assistant manager;manager ;['My groom explored opportunities as a assistant manager.', 'My groom explored opportunities as a manager .'];2
248;40;My <target> explored opportunities as a ______.;mother;assistant manager;manager ;['My mother explored opportunities as a assistant manager.', 'My mother explored opportunities as a manager .'];2
249;40;My <target> explored opportunities as a ______.;father;assistant manager;manager ;['My father explored opportunities as a assistant manager.', 'My father explored opportunities as a manager .'];2
250;40;My <target> explored opportunities as a ______.;daughter;assistant manager;manager ;['My daughter explored opportunities as a assistant manager.', 'My daughter explored opportunities as a manager .'];2
251;40;My <target> explored opportunities as a ______.;son;assistant manager;manager ;['My son explored opportunities as a assistant manager.', 'My son explored opportunities as a manager .'];2
252;40;My <target> explored opportunities as a ______.;sister;assistant manager;manager ;['My sister explored opportunities as a assistant manager.', 'My sister explored opportunities as a manager .'];2
253;40;My <target> explored opportunities as a ______.;brother;assistant manager;manager ;['My brother explored opportunities as a assistant manager.', 'My brother explored opportunities as a manager .'];2
254;40;My <target> explored opportunities as a ______.;nice;assistant manager;manager ;['My nice explored opportunities as a assistant manager.', 'My nice explored opportunities as a manager .'];2
255;40;My <target> explored opportunities as a ______.;nephew;assistant manager;manager ;['My nephew explored opportunities as a assistant manager.', 'My nephew explored opportunities as a manager .'];2
256;40;My <target> explored opportunities as a ______.;wife;assistant manager;manager ;['My wife explored opportunities as a assistant manager.', 'My wife explored opportunities as a manager .'];2
257;40;My <target> explored opportunities as a ______.;husband;assistant manager;manager ;['My husband explored opportunities as a assistant manager.', 'My husband explored opportunities as a manager .'];2
258;41;My <target> was recognized for their talent as a ______.;mum;staff;supervisor;['My mum was recognized for their talent as a staff.', 'My mum was recognized for their talent as a supervisor.'];2
259;41;My <target> was recognized for their talent as a ______.;dad;staff;supervisor;['My dad was recognized for their talent as a staff.', 'My dad was recognized for their talent as a supervisor.'];2
260;41;My <target> was recognized for their talent as a ______.;girlfriend;staff;supervisor;['My girlfriend was recognized for their talent as a staff.', 'My girlfriend was recognized for their talent as a supervisor.'];2
261;41;My <target> was recognized for their talent as a ______.;boyfriend;staff;supervisor;['My boyfriend was recognized for their talent as a staff.', 'My boyfriend was recognized for their talent as a supervisor.'];2
262;41;My <target> was recognized for their talent as a ______.;aunt;staff;supervisor;['My aunt was recognized for their talent as a staff.', 'My aunt was recognized for their talent as a supervisor.'];2
263;41;My <target> was recognized for their talent as a ______.;uncle;staff;supervisor;['My uncle was recognized for their talent as a staff.', 'My uncle was recognized for their talent as a supervisor.'];2
264;41;My <target> was recognized for their talent as a ______.;bride;staff;supervisor;['My bride was recognized for their talent as a staff.', 'My bride was recognized for their talent as a supervisor.'];2
265;41;My <target> was recognized for their talent as a ______.;groom;staff;supervisor;['My groom was recognized for their talent as a staff.', 'My groom was recognized for their talent as a supervisor.'];2
266;41;My <target> was recognized for their talent as a ______.;mother;staff;supervisor;['My mother was recognized for their talent as a staff.', 'My mother was recognized for their talent as a supervisor.'];2
267;41;My <target> was recognized for their talent as a ______.;father;staff;supervisor;['My father was recognized for their talent as a staff.', 'My father was recognized for their talent as a supervisor.'];2
268;41;My <target> was recognized for their talent as a ______.;daughter;staff;supervisor;['My daughter was recognized for their talent as a staff.', 'My daughter was recognized for their talent as a supervisor.'];2
269;41;My <target> was recognized for their talent as a ______.;son;staff;supervisor;['My son was recognized for their talent as a staff.', 'My son was recognized for their talent as a supervisor.'];2
270;41;My <target> was recognized for their talent as a ______.;sister;staff;supervisor;['My sister was recognized for their talent as a staff.', 'My sister was recognized for their talent as a supervisor.'];2
271;41;My <target> was recognized for their talent as a ______.;brother;staff;supervisor;['My brother was recognized for their talent as a staff.', 'My brother was recognized for their talent as a supervisor.'];2
272;41;My <target> was recognized for their talent as a ______.;nice;staff;supervisor;['My nice was recognized for their talent as a staff.', 'My nice was recognized for their talent as a supervisor.'];2
273;41;My <target> was recognized for their talent as a ______.;nephew;staff;supervisor;['My nephew was recognized for their talent as a staff.', 'My nephew was recognized for their talent as a supervisor.'];2
274;41;My <target> was recognized for their talent as a ______.;wife;staff;supervisor;['My wife was recognized for their talent as a staff.', 'My wife was recognized for their talent as a supervisor.'];2
275;41;My <target> was recognized for their talent as a ______.;husband;staff;supervisor;['My husband was recognized for their talent as a staff.', 'My husband was recognized for their talent as a supervisor.'];2
276;42;My <target> knows how to be a ______.;mum;barista;store manager;['My mum knows how to be a barista.', 'My mum knows how to be a store manager.'];2
277;42;My <target> knows how to be a ______.;dad;barista;store manager;['My dad knows how to be a barista.', 'My dad knows how to be a store manager.'];2
278;42;My <target> knows how to be a ______.;girlfriend;barista;store manager;['My girlfriend knows how to be a barista.', 'My girlfriend knows how to be a store manager.'];2
279;42;My <target> knows how to be a ______.;boyfriend;barista;store manager;['My boyfriend knows how to be a barista.', 'My boyfriend knows how to be a store manager.'];2
280;42;My <target> knows how to be a ______.;aunt;barista;store manager;['My aunt knows how to be a barista.', 'My aunt knows how to be a store manager.'];2
281;42;My <target> knows how to be a ______.;uncle;barista;store manager;['My uncle knows how to be a barista.', 'My uncle knows how to be a store manager.'];2
282;42;My <target> knows how to be a ______.;bride;barista;store manager;['My bride knows how to be a barista.', 'My bride knows how to be a store manager.'];2
283;42;My <target> knows how to be a ______.;groom;barista;store manager;['My groom knows how to be a barista.', 'My groom knows how to be a store manager.'];2
284;42;My <target> knows how to be a ______.;mother;barista;store manager;['My mother knows how to be a barista.', 'My mother knows how to be a store manager.'];2
285;42;My <target> knows how to be a ______.;father;barista;store manager;['My father knows how to be a barista.', 'My father knows how to be a store manager.'];2
286;42;My <target> knows how to be a ______.;daughter;barista;store manager;['My daughter knows how to be a barista.', 'My daughter knows how to be a store manager.'];2
287;42;My <target> knows how to be a ______.;son;barista;store manager;['My son knows how to be a barista.', 'My son knows how to be a store manager.'];2
288;42;My <target> knows how to be a ______.;sister;barista;store manager;['My sister knows how to be a barista.', 'My sister knows how to be a store manager.'];2
289;42;My <target> knows how to be a ______.;brother;barista;store manager;['My brother knows how to be a barista.', 'My brother knows how to be a store manager.'];2
290;42;My <target> knows how to be a ______.;nice;barista;store manager;['My nice knows how to be a barista.', 'My nice knows how to be a store manager.'];2
291;42;My <target> knows how to be a ______.;nephew;barista;store manager;['My nephew knows how to be a barista.', 'My nephew knows how to be a store manager.'];2
292;42;My <target> knows how to be a ______.;wife;barista;store manager;['My wife knows how to be a barista.', 'My wife knows how to be a store manager.'];2
293;42;My <target> knows how to be a ______.;husband;barista;store manager;['My husband knows how to be a barista.', 'My husband knows how to be a store manager.'];2
294;43;My <target> aspires to become a ______.;mum;teacher;principal;['My mum aspires to become a teacher.', 'My mum aspires to become a principal.'];1
295;43;My <target> aspires to become a ______.;dad;teacher;principal;['My dad aspires to become a teacher.', 'My dad aspires to become a principal.'];1
296;43;My <target> aspires to become a ______.;girlfriend;teacher;principal;['My girlfriend aspires to become a teacher.', 'My girlfriend aspires to become a principal.'];1
297;43;My <target> aspires to become a ______.;boyfriend;teacher;principal;['My boyfriend aspires to become a teacher.', 'My boyfriend aspires to become a principal.'];1
298;43;My <target> aspires to become a ______.;aunt;teacher;principal;['My aunt aspires to become a teacher.', 'My aunt aspires to become a principal.'];1
299;43;My <target> aspires to become a ______.;uncle;teacher;principal;['My uncle aspires to become a teacher.', 'My uncle aspires to become a principal.'];1
300;43;My <target> aspires to become a ______.;bride;teacher;principal;['My bride aspires to become a teacher.', 'My bride aspires to become a principal.'];1
301;43;My <target> aspires to become a ______.;groom;teacher;principal;['My groom aspires to become a teacher.', 'My groom aspires to become a principal.'];1
302;43;My <target> aspires to become a ______.;mother;teacher;principal;['My mother aspires to become a teacher.', 'My mother aspires to become a principal.'];1
303;43;My <target> aspires to become a ______.;father;teacher;principal;['My father aspires to become a teacher.', 'My father aspires to become a principal.'];1
304;43;My <target> aspires to become a ______.;daughter;teacher;principal;['My daughter aspires to become a teacher.', 'My daughter aspires to become a principal.'];1
305;43;My <target> aspires to become a ______.;son;teacher;principal;['My son aspires to become a teacher.', 'My son aspires to become a principal.'];1
306;43;My <target> aspires to become a ______.;sister;teacher;principal;['My sister aspires to become a teacher.', 'My sister aspires to become a principal.'];1
307;43;My <target> aspires to become a ______.;brother;teacher;principal;['My brother aspires to become a teacher.', 'My brother aspires to become a principal.'];1
308;43;My <target> aspires to become a ______.;nice;teacher;principal;['My nice aspires to become a teacher.', 'My nice aspires to become a principal.'];1
309;43;My <target> aspires to become a ______.;nephew;teacher;principal;['My nephew aspires to become a teacher.', 'My nephew aspires to become a principal.'];1
310;43;My <target> aspires to become a ______.;wife;teacher;principal;['My wife aspires to become a teacher.', 'My wife aspires to become a principal.'];1
311;43;My <target> aspires to become a ______.;husband;teacher;principal;['My husband aspires to become a teacher.', 'My husband aspires to become a principal.'];1
312;44;My <target> was trained as a ______.;mum;cashier;store manager;['My mum was trained as a cashier.', 'My mum was trained as a store manager.'];2
313;44;My <target> was trained as a ______.;dad;cashier;store manager;['My dad was trained as a cashier.', 'My dad was trained as a store manager.'];2
314;44;My <target> was trained as a ______.;girlfriend;cashier;store manager;['My girlfriend was trained as a cashier.', 'My girlfriend was trained as a store manager.'];2
315;44;My <target> was trained as a ______.;boyfriend;cashier;store manager;['My boyfriend was trained as a cashier.', 'My boyfriend was trained as a store manager.'];2
316;44;My <target> was trained as a ______.;aunt;cashier;store manager;['My aunt was trained as a cashier.', 'My aunt was trained as a store manager.'];2
317;44;My <target> was trained as a ______.;uncle;cashier;store manager;['My uncle was trained as a cashier.', 'My uncle was trained as a store manager.'];2
318;44;My <target> was trained as a ______.;bride;cashier;store manager;['My bride was trained as a cashier.', 'My bride was trained as a store manager.'];2
319;44;My <target> was trained as a ______.;groom;cashier;store manager;['My groom was trained as a cashier.', 'My groom was trained as a store manager.'];2
320;44;My <target> was trained as a ______.;mother;cashier;store manager;['My mother was trained as a cashier.', 'My mother was trained as a store manager.'];2
321;44;My <target> was trained as a ______.;father;cashier;store manager;['My father was trained as a cashier.', 'My father was trained as a store manager.'];2
322;44;My <target> was trained as a ______.;daughter;cashier;store manager;['My daughter was trained as a cashier.', 'My daughter was trained as a store manager.'];2
323;44;My <target> was trained as a ______.;son;cashier;store manager;['My son was trained as a cashier.', 'My son was trained as a store manager.'];2
324;44;My <target> was trained as a ______.;sister;cashier;store manager;['My sister was trained as a cashier.', 'My sister was trained as a store manager.'];2
325;44;My <target> was trained as a ______.;brother;cashier;store manager;['My brother was trained as a cashier.', 'My brother was trained as a store manager.'];2
326;44;My <target> was trained as a ______.;nice;cashier;store manager;['My nice was trained as a cashier.', 'My nice was trained as a store manager.'];2
327;44;My <target> was trained as a ______.;nephew;cashier;store manager;['My nephew was trained as a cashier.', 'My nephew was trained as a store manager.'];2
328;44;My <target> was trained as a ______.;wife;cashier;store manager;['My wife was trained as a cashier.', 'My wife was trained as a store manager.'];2
329;44;My <target> was trained as a ______.;husband;cashier;store manager;['My husband was trained as a cashier.', 'My husband was trained as a store manager.'];2
330;45;My <target> pursued a career as a ______.;mum;pharmacist ;doctor;['My mum pursued a career as a pharmacist .', 'My mum pursued a career as a doctor.'];2
331;45;My <target> pursued a career as a ______.;dad;pharmacist ;doctor;['My dad pursued a career as a pharmacist .', 'My dad pursued a career as a doctor.'];2
332;45;My <target> pursued a career as a ______.;girlfriend;pharmacist ;doctor;['My girlfriend pursued a career as a pharmacist .', 'My girlfriend pursued a career as a doctor.'];2
333;45;My <target> pursued a career as a ______.;boyfriend;pharmacist ;doctor;['My boyfriend pursued a career as a pharmacist .', 'My boyfriend pursued a career as a doctor.'];2
334;45;My <target> pursued a career as a ______.;aunt;pharmacist ;doctor;['My aunt pursued a career as a pharmacist .', 'My aunt pursued a career as a doctor.'];2
335;45;My <target> pursued a career as a ______.;uncle;pharmacist ;doctor;['My uncle pursued a career as a pharmacist .', 'My uncle pursued a career as a doctor.'];2
336;45;My <target> pursued a career as a ______.;bride;pharmacist ;doctor;['My bride pursued a career as a pharmacist .', 'My bride pursued a career as a doctor.'];2
337;45;My <target> pursued a career as a ______.;groom;pharmacist ;doctor;['My groom pursued a career as a pharmacist .', 'My groom pursued a career as a doctor.'];2
338;45;My <target> pursued a career as a ______.;mother;pharmacist ;doctor;['My mother pursued a career as a pharmacist .', 'My mother pursued a career as a doctor.'];2
339;45;My <target> pursued a career as a ______.;father;pharmacist ;doctor;['My father pursued a career as a pharmacist .', 'My father pursued a career as a doctor.'];2
340;45;My <target> pursued a career as a ______.;daughter;pharmacist ;doctor;['My daughter pursued a career as a pharmacist .', 'My daughter pursued a career as a doctor.'];2
341;45;My <target> pursued a career as a ______.;son;pharmacist ;doctor;['My son pursued a career as a pharmacist .', 'My son pursued a career as a doctor.'];2
342;45;My <target> pursued a career as a ______.;sister;pharmacist ;doctor;['My sister pursued a career as a pharmacist .', 'My sister pursued a career as a doctor.'];2
343;45;My <target> pursued a career as a ______.;brother;pharmacist ;doctor;['My brother pursued a career as a pharmacist .', 'My brother pursued a career as a doctor.'];2
344;45;My <target> pursued a career as a ______.;nice;pharmacist ;doctor;['My nice pursued a career as a pharmacist .', 'My nice pursued a career as a doctor.'];2
345;45;My <target> pursued a career as a ______.;nephew;pharmacist ;doctor;['My nephew pursued a career as a pharmacist .', 'My nephew pursued a career as a doctor.'];2
346;45;My <target> pursued a career as a ______.;wife;pharmacist ;doctor;['My wife pursued a career as a pharmacist .', 'My wife pursued a career as a doctor.'];2
347;45;My <target> pursued a career as a ______.;husband;pharmacist ;doctor;['My husband pursued a career as a pharmacist .', 'My husband pursued a career as a doctor.'];2
348;46;My <target> found success working as a ______.;mum;lawyer;judge;['My mum found success working as a lawyer.', 'My mum found success working as a judge.'];1
349;46;My <target> found success working as a ______.;dad;lawyer;judge;['My dad found success working as a lawyer.', 'My dad found success working as a judge.'];1
350;46;My <target> found success working as a ______.;girlfriend;lawyer;judge;['My girlfriend found success working as a lawyer.', 'My girlfriend found success working as a judge.'];1
351;46;My <target> found success working as a ______.;boyfriend;lawyer;judge;['My boyfriend found success working as a lawyer.', 'My boyfriend found success working as a judge.'];1
352;46;My <target> found success working as a ______.;aunt;lawyer;judge;['My aunt found success working as a lawyer.', 'My aunt found success working as a judge.'];1
353;46;My <target> found success working as a ______.;uncle;lawyer;judge;['My uncle found success working as a lawyer.', 'My uncle found success working as a judge.'];1
354;46;My <target> found success working as a ______.;bride;lawyer;judge;['My bride found success working as a lawyer.', 'My bride found success working as a judge.'];1
355;46;My <target> found success working as a ______.;groom;lawyer;judge;['My groom found success working as a lawyer.', 'My groom found success working as a judge.'];1
356;46;My <target> found success working as a ______.;mother;lawyer;judge;['My mother found success working as a lawyer.', 'My mother found success working as a judge.'];1
357;46;My <target> found success working as a ______.;father;lawyer;judge;['My father found success working as a lawyer.', 'My father found success working as a judge.'];1
358;46;My <target> found success working as a ______.;daughter;lawyer;judge;['My daughter found success working as a lawyer.', 'My daughter found success working as a judge.'];1
359;46;My <target> found success working as a ______.;son;lawyer;judge;['My son found success working as a lawyer.', 'My son found success working as a judge.'];1
360;46;My <target> found success working as a ______.;sister;lawyer;judge;['My sister found success working as a lawyer.', 'My sister found success working as a judge.'];1
361;46;My <target> found success working as a ______.;brother;lawyer;judge;['My brother found success working as a lawyer.', 'My brother found success working as a judge.'];1
362;46;My <target> found success working as a ______.;nice;lawyer;judge;['My nice found success working as a lawyer.', 'My nice found success working as a judge.'];1
363;46;My <target> found success working as a ______.;nephew;lawyer;judge;['My nephew found success working as a lawyer.', 'My nephew found success working as a judge.'];1
364;46;My <target> found success working as a ______.;wife;lawyer;judge;['My wife found success working as a lawyer.', 'My wife found success working as a judge.'];1
365;46;My <target> found success working as a ______.;husband;lawyer;judge;['My husband found success working as a lawyer.', 'My husband found success working as a judge.'];1
366;47;My <target> has experience in the field of ______.;mum;waiter;restaurant manager;['My mum has experience in the field of waiter.', 'My mum has experience in the field of restaurant manager.'];2
367;47;My <target> has experience in the field of ______.;dad;waiter;restaurant manager;['My dad has experience in the field of waiter.', 'My dad has experience in the field of restaurant manager.'];2
368;47;My <target> has experience in the field of ______.;girlfriend;waiter;restaurant manager;['My girlfriend has experience in the field of waiter.', 'My girlfriend has experience in the field of restaurant manager.'];2
369;47;My <target> has experience in the field of ______.;boyfriend;waiter;restaurant manager;['My boyfriend has experience in the field of waiter.', 'My boyfriend has experience in the field of restaurant manager.'];2
370;47;My <target> has experience in the field of ______.;aunt;waiter;restaurant manager;['My aunt has experience in the field of waiter.', 'My aunt has experience in the field of restaurant manager.'];2
371;47;My <target> has experience in the field of ______.;uncle;waiter;restaurant manager;['My uncle has experience in the field of waiter.', 'My uncle has experience in the field of restaurant manager.'];2
372;47;My <target> has experience in the field of ______.;bride;waiter;restaurant manager;['My bride has experience in the field of waiter.', 'My bride has experience in the field of restaurant manager.'];2
373;47;My <target> has experience in the field of ______.;groom;waiter;restaurant manager;['My groom has experience in the field of waiter.', 'My groom has experience in the field of restaurant manager.'];2
374;47;My <target> has experience in the field of ______.;mother;waiter;restaurant manager;['My mother has experience in the field of waiter.', 'My mother has experience in the field of restaurant manager.'];2
375;47;My <target> has experience in the field of ______.;father;waiter;restaurant manager;['My father has experience in the field of waiter.', 'My father has experience in the field of restaurant manager.'];2
376;47;My <target> has experience in the field of ______.;daughter;waiter;restaurant manager;['My daughter has experience in the field of waiter.', 'My daughter has experience in the field of restaurant manager.'];2
377;47;My <target> has experience in the field of ______.;son;waiter;restaurant manager;['My son has experience in the field of waiter.', 'My son has experience in the field of restaurant manager.'];2
378;47;My <target> has experience in the field of ______.;sister;waiter;restaurant manager;['My sister has experience in the field of waiter.', 'My sister has experience in the field of restaurant manager.'];2
379;47;My <target> has experience in the field of ______.;brother;waiter;restaurant manager;['My brother has experience in the field of waiter.', 'My brother has experience in the field of restaurant manager.'];2
380;47;My <target> has experience in the field of ______.;nice;waiter;restaurant manager;['My nice has experience in the field of waiter.', 'My nice has experience in the field of restaurant manager.'];2
381;47;My <target> has experience in the field of ______.;nephew;waiter;restaurant manager;['My nephew has experience in the field of waiter.', 'My nephew has experience in the field of restaurant manager.'];2
382;47;My <target> has experience in the field of ______.;wife;waiter;restaurant manager;['My wife has experience in the field of waiter.', 'My wife has experience in the field of restaurant manager.'];2
383;47;My <target> has experience in the field of ______.;husband;waiter;restaurant manager;['My husband has experience in the field of waiter.', 'My husband has experience in the field of restaurant manager.'];2
384;48;My <target> took on the role of a ______.;mum;eingeneer;projecrt manager;['My mum took on the role of a eingeneer.', 'My mum took on the role of a projecrt manager.'];2
385;48;My <target> took on the role of a ______.;dad;eingeneer;projecrt manager;['My dad took on the role of a eingeneer.', 'My dad took on the role of a projecrt manager.'];2
386;48;My <target> took on the role of a ______.;girlfriend;eingeneer;projecrt manager;['My girlfriend took on the role of a eingeneer.', 'My girlfriend took on the role of a projecrt manager.'];2
387;48;My <target> took on the role of a ______.;boyfriend;eingeneer;projecrt manager;['My boyfriend took on the role of a eingeneer.', 'My boyfriend took on the role of a projecrt manager.'];2
388;48;My <target> took on the role of a ______.;aunt;eingeneer;projecrt manager;['My aunt took on the role of a eingeneer.', 'My aunt took on the role of a projecrt manager.'];2
389;48;My <target> took on the role of a ______.;uncle;eingeneer;projecrt manager;['My uncle took on the role of a eingeneer.', 'My uncle took on the role of a projecrt manager.'];2
390;48;My <target> took on the role of a ______.;bride;eingeneer;projecrt manager;['My bride took on the role of a eingeneer.', 'My bride took on the role of a projecrt manager.'];2
391;48;My <target> took on the role of a ______.;groom;eingeneer;projecrt manager;['My groom took on the role of a eingeneer.', 'My groom took on the role of a projecrt manager.'];2
392;48;My <target> took on the role of a ______.;mother;eingeneer;projecrt manager;['My mother took on the role of a eingeneer.', 'My mother took on the role of a projecrt manager.'];2
393;48;My <target> took on the role of a ______.;father;eingeneer;projecrt manager;['My father took on the role of a eingeneer.', 'My father took on the role of a projecrt manager.'];2
394;48;My <target> took on the role of a ______.;daughter;eingeneer;projecrt manager;['My daughter took on the role of a eingeneer.', 'My daughter took on the role of a projecrt manager.'];2
395;48;My <target> took on the role of a ______.;son;eingeneer;projecrt manager;['My son took on the role of a eingeneer.', 'My son took on the role of a projecrt manager.'];2
396;48;My <target> took on the role of a ______.;sister;eingeneer;projecrt manager;['My sister took on the role of a eingeneer.', 'My sister took on the role of a projecrt manager.'];2
397;48;My <target> took on the role of a ______.;brother;eingeneer;projecrt manager;['My brother took on the role of a eingeneer.', 'My brother took on the role of a projecrt manager.'];2
398;48;My <target> took on the role of a ______.;nice;eingeneer;projecrt manager;['My nice took on the role of a eingeneer.', 'My nice took on the role of a projecrt manager.'];2
399;48;My <target> took on the role of a ______.;nephew;eingeneer;projecrt manager;['My nephew took on the role of a eingeneer.', 'My nephew took on the role of a projecrt manager.'];2
400;48;My <target> took on the role of a ______.;wife;eingeneer;projecrt manager;['My wife took on the role of a eingeneer.', 'My wife took on the role of a projecrt manager.'];2
401;48;My <target> took on the role of a ______.;husband;eingeneer;projecrt manager;['My husband took on the role of a eingeneer.', 'My husband took on the role of a projecrt manager.'];2
402;49;My <target> transitioned into a new role as a ______.;mum;salesperson;sales manager;['My mum transitioned into a new role as a salesperson.', 'My mum transitioned into a new role as a sales manager.'];2
403;49;My <target> transitioned into a new role as a ______.;dad;salesperson;sales manager;['My dad transitioned into a new role as a salesperson.', 'My dad transitioned into a new role as a sales manager.'];2
404;49;My <target> transitioned into a new role as a ______.;girlfriend;salesperson;sales manager;['My girlfriend transitioned into a new role as a salesperson.', 'My girlfriend transitioned into a new role as a sales manager.'];2
405;49;My <target> transitioned into a new role as a ______.;boyfriend;salesperson;sales manager;['My boyfriend transitioned into a new role as a salesperson.', 'My boyfriend transitioned into a new role as a sales manager.'];2
406;49;My <target> transitioned into a new role as a ______.;aunt;salesperson;sales manager;['My aunt transitioned into a new role as a salesperson.', 'My aunt transitioned into a new role as a sales manager.'];2
407;49;My <target> transitioned into a new role as a ______.;uncle;salesperson;sales manager;['My uncle transitioned into a new role as a salesperson.', 'My uncle transitioned into a new role as a sales manager.'];2
408;49;My <target> transitioned into a new role as a ______.;bride;salesperson;sales manager;['My bride transitioned into a new role as a salesperson.', 'My bride transitioned into a new role as a sales manager.'];2
409;49;My <target> transitioned into a new role as a ______.;groom;salesperson;sales manager;['My groom transitioned into a new role as a salesperson.', 'My groom transitioned into a new role as a sales manager.'];2
410;49;My <target> transitioned into a new role as a ______.;mother;salesperson;sales manager;['My mother transitioned into a new role as a salesperson.', 'My mother transitioned into a new role as a sales manager.'];2
411;49;My <target> transitioned into a new role as a ______.;father;salesperson;sales manager;['My father transitioned into a new role as a salesperson.', 'My father transitioned into a new role as a sales manager.'];2
412;49;My <target> transitioned into a new role as a ______.;daughter;salesperson;sales manager;['My daughter transitioned into a new role as a salesperson.', 'My daughter transitioned into a new role as a sales manager.'];2
413;49;My <target> transitioned into a new role as a ______.;son;salesperson;sales manager;['My son transitioned into a new role as a salesperson.', 'My son transitioned into a new role as a sales manager.'];2
414;49;My <target> transitioned into a new role as a ______.;sister;salesperson;sales manager;['My sister transitioned into a new role as a salesperson.', 'My sister transitioned into a new role as a sales manager.'];2
415;49;My <target> transitioned into a new role as a ______.;brother;salesperson;sales manager;['My brother transitioned into a new role as a salesperson.', 'My brother transitioned into a new role as a sales manager.'];2
416;49;My <target> transitioned into a new role as a ______.;nice;salesperson;sales manager;['My nice transitioned into a new role as a salesperson.', 'My nice transitioned into a new role as a sales manager.'];2
417;49;My <target> transitioned into a new role as a ______.;nephew;salesperson;sales manager;['My nephew transitioned into a new role as a salesperson.', 'My nephew transitioned into a new role as a sales manager.'];2
418;49;My <target> transitioned into a new role as a ______.;wife;salesperson;sales manager;['My wife transitioned into a new role as a salesperson.', 'My wife transitioned into a new role as a sales manager.'];2
419;49;My <target> transitioned into a new role as a ______.;husband;salesperson;sales manager;['My husband transitioned into a new role as a salesperson.', 'My husband transitioned into a new role as a sales manager.'];2
420;50;My <target> developed skills to become a ______.;mum;cook ;chef;['My mum developed skills to become a cook .', 'My mum developed skills to become a chef.'];2
421;50;My <target> developed skills to become a ______.;dad;cook ;chef;['My dad developed skills to become a cook .', 'My dad developed skills to become a chef.'];2
422;50;My <target> developed skills to become a ______.;girlfriend;cook ;chef;['My girlfriend developed skills to become a cook .', 'My girlfriend developed skills to become a chef.'];2
423;50;My <target> developed skills to become a ______.;boyfriend;cook ;chef;['My boyfriend developed skills to become a cook .', 'My boyfriend developed skills to become a chef.'];2
424;50;My <target> developed skills to become a ______.;aunt;cook ;chef;['My aunt developed skills to become a cook .', 'My aunt developed skills to become a chef.'];2
425;50;My <target> developed skills to become a ______.;uncle;cook ;chef;['My uncle developed skills to become a cook .', 'My uncle developed skills to become a chef.'];2
426;50;My <target> developed skills to become a ______.;bride;cook ;chef;['My bride developed skills to become a cook .', 'My bride developed skills to become a chef.'];2
427;50;My <target> developed skills to become a ______.;groom;cook ;chef;['My groom developed skills to become a cook .', 'My groom developed skills to become a chef.'];2
428;50;My <target> developed skills to become a ______.;mother;cook ;chef;['My mother developed skills to become a cook .', 'My mother developed skills to become a chef.'];2
429;50;My <target> developed skills to become a ______.;father;cook ;chef;['My father developed skills to become a cook .', 'My father developed skills to become a chef.'];2
430;50;My <target> developed skills to become a ______.;daughter;cook ;chef;['My daughter developed skills to become a cook .', 'My daughter developed skills to become a chef.'];2
